시장,종목코드,종목명,업종,가격,당일등락률,시가총액,거래량,거래대금,1주수익률,1개월수익률,3개월수익률,6개월수익률,이상치상태,1단계점수,점수식버전
한국,100590,머큐리,Technology,4995,2.15,85612027275,1714699,8773169380,3.5233,41.3013,27.5862,-15.3390,없음,2.12438434,MSS7-S1-1.0.0
한국,357780,솔브레인,Materials,370000,9.79,2878069420000,58240,21147802750,11.1111,12.1212,9.6296,-13.3489,없음,2.12359808,MSS7-S1-1.0.0
한국,114810,한솔아이원스,Industrials,14770,9.16,415674679980,479998,6917295740,20.2769,13.6154,9.8958,2.9268,없음,2.11513474,MSS7-S1-1.0.0
한국,126340,비나텍,Other,86800,5.98,623259935200,161765,13852968000,15.4255,36.9085,-10.3306,-29.1429,없음,2.11447910,MSS7-S1-1.0.0
한국,060370,LS마린솔루션,Technology,33650,1.51,1757837437100,165986,5527330800,4.1796,9.9673,32.4803,11.4238,없음,2.11107326,MSS7-S1-1.0.0
한국,412350,레이저쎌,Industrials,5430,0,79294523490,216042,1184565410,14.3158,34.0741,18.8184,-25.9209,없음,2.10797320,MSS7-S1-1.0.0
한국,068930,디지털대성,Other,9600,0.31,265683283200,346267,3344629655,8.5973,15.2461,37.1429,7.2626,없음,2.10495302,MSS7-S1-1.0.0
한국,096530,씨젠,Healthcare,34000,-0.58,1588969668000,164325,5598570650,4.7766,5.7543,26.1596,52.8090,없음,2.09738475,MSS7-S1-1.0.0
한국,058470,리노공업,Technology,74300,-0.93,5662540455000,1493192,110177330800,12.7466,15.0155,-12.7934,-30.7549,없음,2.09149989,MSS7-S1-1.0.0
한국,033780,KT&G,Other,174300,-1.69,18094162480800,266604,46655668650,1.3372,0.6351,3.3808,10.5964,없음,2.08928785,MSS7-S1-1.0.0
한국,090430,아모레퍼시픽,Materials,142500,0.35,8335218157500,145314,20745686600,-1.4523,1.8585,45.4082,5.0111,없음,2.06913902,MSS7-S1-1.0.0
한국,127710,아시아경제,Technology,1317,10.95,58012809570,97166,127322027,12.9503,30.0099,49.6591,-17.5845,없음,2.05751187,MSS7-S1-1.0.0
한국,128940,한미약품,Healthcare,520000,3.59,6661715320000,126975,66420977500,3.5857,-3.7037,29.0323,1.7613,없음,2.05218873,MSS7-S1-1.0.0
한국,086450,동국제약,Healthcare,21350,4.15,965669467000,821174,17668924925,2.3981,11.1400,17.3722,17.9558,없음,2.05162553,MSS7-S1-1.0.0
한국,005830,DB손해보험,Financials,184600,-0.7,12091364425400,164514,30306492000,-1.2834,2.2715,34.4501,0.4899,없음,2.05051099,MSS7-S1-1.0.0
한국,452430,사피엔반도체,Technology,40250,-1.95,332280695250,47284,1906662075,3.4704,54.2146,27.5753,21.0526,없음,2.04724553,MSS7-S1-1.0.0
한국,000880,한화,Materials,130000,-1.74,6932756610000,61735,8086377750,-5.5919,55.1313,25.2408,13.4380,없음,2.04561833,MSS7-S1-1.0.0
한국,036710,심텍홀딩스,Other,4485,7.81,236932476690,1031664,4525650119,11.0149,12.6884,6.4057,69.2453,없음,2.03403004,MSS7-S1-1.0.0
한국,054220,비츠로시스,Utilities,1729,1.41,21769175064,51045,87225459,6.5311,11.9094,17.6190,194.0476,없음,2.02671533,MSS7-S1-1.0.0
한국,006360,GS건설,Industrials,34600,-7.61,2961119554000,2377160,83078325400,-5.7221,2.0649,38.1238,22.6950,없음,2.02182481,MSS7-S1-1.0.0
한국,007610,선도전기,Utilities,4415,-1.78,79470000000,358320,1606175855,16.0315,13.3504,14.5266,47.1667,없음,2.01899667,MSS7-S1-1.0.0
한국,028260,삼성물산,Other,367000,0,59515502227000,275715,102096058500,3.8190,0.6859,-23.7799,30.3730,없음,2.01771649,MSS7-S1-1.0.0
한국,071280,로체시스템즈,Industrials,8030,10.15,122831722090,586377,4577458625,16.7151,23.1595,25.2730,0.1247,없음,2.01240440,MSS7-S1-1.0.0
한국,122350,삼기,Industrials,1637,2.18,62761643636,9059094,15320031828,0.5528,10.6081,50.7366,5.9547,없음,2.00807120,MSS7-S1-1.0.0
한국,006260,LS,Financials,321500,-1.53,10030800000000,71796,23411934750,5.9308,11.4385,-9.0523,16.2749,없음,2.00736759,MSS7-S1-1.0.0
한국,059100,아이컴포넌트,Technology,6920,0,48930351200,10008,69283940,6.4615,12.8874,44.1667,29.3458,없음,2.00643093,MSS7-S1-1.0.0
한국,173130,오파스넷,Technology,7510,4.74,97979012230,214017,1601985700,9.1570,35.0719,13.7879,-0.2656,없음,2.00487640,MSS7-S1-1.0.0
한국,460870,에스엠씨지,Other,3080,0.33,61825776320,87076,268658100,12.6143,12.0000,61.2565,-14.0865,없음,2.00413067,MSS7-S1-1.0.0
한국,125490,한라캐스트,Industrials,12110,-2.34,442043482720,1287820,15990083485,10.7960,11.1009,31.7737,-27.1360,없음,2.00381086,MSS7-S1-1.0.0
한국,000720,현대건설,Industrials,121100,-7.77,13485183141500,1201523,147407345200,-2.5744,14.6780,5.5798,-19.2128,없음,2.00207110,MSS7-S1-1.0.0
한국,265740,엔에프씨,Materials,7450,-1.06,133083820000,369658,2755752740,11.3602,13.7405,55.3702,-11.3095,없음,2.00152864,MSS7-S1-1.0.0
한국,092730,네오팜,Materials,23650,0.64,379061939850,40788,958912875,8.7356,0.8529,46.5304,36.3112,없음,1.99115332,MSS7-S1-1.0.0
한국,080220,제주반도체,Technology,77600,2.65,2672763840800,912548,70673564200,8.5315,6.5934,-31.2666,83.2349,없음,1.98573871,MSS7-S1-1.0.0
한국,037370,EG,Materials,4400,1.85,37949876800,13335,58002225,6.7961,25.1778,45.9370,-15.8700,없음,1.98570867,MSS7-S1-1.0.0
