시장,종목코드,종목명,업종,1단계선별점수,2단계선별점수,지속성,업종내상대순위,추가검증,산식버전
한국,203650,드림시큐리티,Technology,0.8488855581,0.8680901872,1.0000,0.7071,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,006340,대원전선,Other,0.8599893843,0.8645155287,1.0000,0.8571,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,095610,테스,Industrials,0.8984092357,0.8643913762,0.7500,0.8971,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,024840,KBI메탈,Materials,0.8745612778,0.8631400889,1.0000,0.9333,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,419050,삼기에너지솔루션즈,Industrials,0.8285906102,0.8595812969,1.0000,0.6029,균형=1;의심수익률=당일,MSS7.1-S2-KR-1.0.0
한국,180640,한진칼,Financials,0.8803031216,0.8575187905,1.0000,0.9667,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,053800,안랩,Technology,0.8996536409,0.8569437296,1.0000,0.8889,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,001440,대한전선,Other,0.8584517915,0.8556152985,0.7500,0.8286,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,138040,메리츠금융지주,Financials,0.8510207139,0.8540852967,1.0000,0.8333,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,192650,드림텍,Technology,0.9007048691,0.8494035395,1.0000,0.9091,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,086450,동국제약,Healthcare,0.8446145796,0.8453608418,1.0000,0.8000,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,059090,미코,Technology,0.8913815075,0.8421642107,1.0000,0.8586,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,443060,HD현대마린솔루션,Other,0.8548224020,0.8410771521,1.0000,0.7714,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,077360,덕산하이메탈,Technology,0.8793520834,0.8387238762,1.0000,0.8081,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,010950,S-Oil,Energy,0.9214231927,0.8355434467,1.0000,0.0000,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,033780,KT&G,Other,0.8019928147,0.8344275836,1.0000,0.5714,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,028050,삼성E&A,Other,0.8146972241,0.8308660203,0.7500,0.7429,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,010580,에스엠벡셀,Industrials,0.8704733678,0.8287826594,1.0000,0.8088,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,340450,지씨지놈,Other,0.8553398852,0.8276119785,1.0000,0.8000,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
한국,452260,한화갤러리아,Consumer,0.8564993968,0.8235518189,1.0000,1.0000,균형=1;의심수익률=없음,MSS7.1-S2-KR-1.0.0
