market,symbol,name,level1_score,direct_trend_evidence,liquidity_evidence,status
KR,201490,미투온,0.756308,r1w=-3.5156;r1m=47.3161;r3m=87.1212;r6m=21.0784,trading_value=71386181320,L2_PASS
KR,452430,사피엔반도체,0.745008,r1w=3.4704;r1m=54.2146;r3m=27.5753;r6m=21.0526,trading_value=1906662075,L2_PASS
KR,294870,IPARK현대산업개발,0.744860,r1w=-1.2500;r1m=8.2192;r3m=24.4748;r6m=8.4668,trading_value=2451310125,L2_PASS
KR,041960,코미팜,0.743671,r1w=0.0000;r1m=0.5102;r3m=21.3054;r6m=15.0701,trading_value=5086242855,L2_PASS
KR,003690,코리안리,0.742441,r1w=-3.5503;r1m=2.0167;r3m=18.2111;r6m=10.7170,trading_value=2688224195,L2_PASS
KR,013030,하이록코리아,0.732559,r1w=10.7195;r1m=21.8094;r3m=19.4929;r6m=4.1436,trading_value=1464058525,L2_PASS
KR,045100,한양이엔지,0.732396,r1w=10.8621;r1m=11.6319;r3m=15.6475;r6m=1.5798,trading_value=1629391375,L2_PASS
KR,068930,디지털대성,0.729653,r1w=8.5973;r1m=15.2461;r3m=37.1429;r6m=7.2626,trading_value=3344629655,L2_PASS
KR,096770,SK이노베이션,0.826626,r1w=9.4644;r1m=14.6810;r3m=51.6260;r6m=35.5132,trading_value=148676435650,L2_PASS
KR,417840,저스템,0.806402,r1w=17.5499;r1m=48.0069;r3m=39.2013;r6m=152.6627,trading_value=33170428755,L2_PASS
KR,229640,LS에코에너지,0.796665,r1w=13.0742;r1m=49.1841;r3m=17.4312;r6m=42.3804,trading_value=40717518950,L2_PASS
KR,204270,제이앤티씨,0.790977,r1w=10.4408;r1m=28.1637;r3m=6.0134;r6m=39.1813,trading_value=25593965575,L2_PASS
KR,103590,일진전기,0.788069,r1w=16.0511;r1m=23.6006;r3m=10.2564;r6m=5.6921,trading_value=80921351650,L2_PASS
KR,080580,오킨스전자,0.783510,r1w=12.4434;r1m=53.6797;r3m=68.7033;r6m=36.3138,trading_value=26204884500,L2_PASS
KR,053800,안랩,0.782467,r1w=15.0155;r1m=30.5800;r3m=41.5238;r6m=20.4214,trading_value=9493761250,L2_PASS
KR,064760,티씨케이,0.772570,r1w=5.9259;r1m=25.7143;r3m=10.8527;r6m=24.3478,trading_value=13745289250,L2_PASS
KR,219130,타이거일렉,0.755729,r1w=8.0214;r1m=27.6461;r3m=28.6624;r6m=146.7176,trading_value=2999571350,L2_PASS
KR,084370,유진테크,0.755342,r1w=16.5242;r1m=20.5601;r3m=1.1125;r6m=27.3152,trading_value=43001863900,L2_PASS
KR,086450,동국제약,0.742439,r1w=2.3981;r1m=11.1400;r3m=17.3722;r6m=17.9558,trading_value=17668924925,L2_PASS
