market,symbol,name,fresh_score,trend_fields,liquidity_fields,prior_recommendation_priority,status
US,COIN,Coinbase Global Inc. Class A Common Stock,1.888955,daily_pct=0.545,market_cap=52558953431;volume=7383844,NONE,L2_CURRENT_RUN
US,VLO,Valero Energy Corporation Common Stock,1.886475,daily_pct=1.868,market_cap=110235907718;volume=3726796,NONE,L2_CURRENT_RUN
US,GEV,GE Vernova Inc. Common Stock,1.880388,daily_pct=0.338,market_cap=254359223198;volume=1683690,NONE,L2_CURRENT_RUN
US,TFC,Truist Financial Corporation Common Stock,1.879638,daily_pct=0.383,market_cap=57636323550;volume=6372158,NONE,L2_CURRENT_RUN
US,RCL,Royal Caribbean Cruises Ltd. Common Stock,1.871237,daily_pct=3.769,market_cap=63915699034;volume=5478549,NONE,L2_CURRENT_RUN
US,DAL,Delta Air Lines Inc. Common Stock,1.869516,daily_pct=1.235,market_cap=54424881963;volume=6256485,NONE,L2_CURRENT_RUN
US,BNY,The Bank of New York Mellon Corporation Common Stock,1.868987,daily_pct=0.455,market_cap=101904537087;volume=3544771,NONE,L2_CURRENT_RUN
US,DDOG,Datadog Inc. Class A Common Stock,1.853752,daily_pct=2.159,market_cap=92253555166;volume=3489556,NONE,L2_CURRENT_RUN
US,VTRS,Viatris Inc. Common Stock,1.853078,daily_pct=1.752,market_cap=20008452851;volume=13744943,NONE,L2_CURRENT_RUN
US,CRWV,CoreWeave Inc. Class A Common Stock,1.851687,daily_pct=3.717,market_cap=49709993938;volume=33748966,NONE,L2_CURRENT_RUN
US,ORLY,O'Reilly Automotive Inc. Common Stock,1.849264,daily_pct=0.396,market_cap=69764778702;volume=4350290,NONE,L2_CURRENT_RUN
US,KR,Kroger Company (The) Common Stock,1.848431,daily_pct=2.221,market_cap=34797486204;volume=8089118,NONE,L2_CURRENT_RUN
US,EQT,EQT Corporation Common Stock,1.840154,daily_pct=1.586,market_cap=32445514920;volume=8136207,NONE,L2_CURRENT_RUN
US,SYY,Sysco Corporation Common Stock,1.837527,daily_pct=1.361,market_cap=38462752532;volume=6855586,NONE,L2_CURRENT_RUN
US,CTAS,Cintas Corporation Common Stock,1.829691,daily_pct=2.974,market_cap=78976474501;volume=3398787,NONE,L2_CURRENT_RUN
US,ICE,Intercontinental Exchange Inc. Common Stock,1.809729,daily_pct=0.371,market_cap=88099636845;volume=2683552,NONE,L2_CURRENT_RUN
US,FISV,Fiserv Inc. Common Stock,1.803637,daily_pct=0.065,market_cap=24450633832;volume=8155509,NONE,L2_CURRENT_RUN
US,MPC,Marathon Petroleum Corporation Common Stock,1.802285,daily_pct=0.662,market_cap=109788441095;volume=2091003,NONE,L2_CURRENT_RUN
US,SOFI,SoFi Technologies Inc. Common Stock,1.801403,daily_pct=1.511,market_cap=21698381443;volume=50283303,NONE,L2_CURRENT_RUN
US,MET,MetLife Inc. Common Stock,1.799605,daily_pct=0.051,market_cap=61800131151;volume=3442899,NONE,L2_CURRENT_RUN
US,PSKY,Paramount Skydance Corporation Class B Common Stock,1.795727,daily_pct=2.209,market_cap=11421408030;volume=15319144,NONE,L2_CURRENT_RUN
US,ISRG,Intuitive Surgical Inc. Common Stock,1.793112,daily_pct=0.306,market_cap=141141641742;volume=1565480,NONE,L2_CURRENT_RUN
US,MRK,Merck & Company Inc. Common Stock (new),1.789846,daily_pct=-0.068,market_cap=365092058991;volume=10312766,NONE,L2_CURRENT_RUN
US,EOG,EOG Resources Inc. Common Stock,1.788039,daily_pct=0.719,market_cap=74934238083;volume=2672414,NONE,L2_CURRENT_RUN
US,HWM,Howmet Aerospace Inc. Common Stock,1.787705,daily_pct=0.262,market_cap=91477064903;volume=2228095,NONE,L2_CURRENT_RUN
US,CAH,Cardinal Health Inc. Common Stock,1.777567,daily_pct=0.61,market_cap=51549741384;volume=3480951,NONE,L2_CURRENT_RUN
US,STT,State Street Corporation Common Stock,1.773416,daily_pct=0.634,market_cap=49745742624;volume=3492741,NONE,L2_CURRENT_RUN
US,CMCSA,Comcast Corporation Class A Common Stock,1.770967,daily_pct=-1.863,market_cap=78531327360;volume=36087907,NONE,L2_CURRENT_RUN
US,EMR,Emerson Electric Company Common Stock,1.770790,daily_pct=1.003,market_cap=87094892000;volume=2071934,NONE,L2_CURRENT_RUN
US,XYZ,Block Inc. Class A Common Stock,1.770069,daily_pct=2.758,market_cap=46105008300;volume=3654550,NONE,L2_CURRENT_RUN
US,ALL,Allstate Corporation (The) Common Stock,1.768554,daily_pct=0.669,market_cap=57441740502;volume=2967263,NONE,L2_CURRENT_RUN
US,NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,1.766566,daily_pct=0.071,market_cap=6515875535;volume=20754985,NONE,L2_CURRENT_RUN
US,MRVL,Marvell Technology Inc. Common Stock,1.766152,daily_pct=-0.747,market_cap=227073255000;volume=13424764,NONE,L2_CURRENT_RUN
US,WM,Waste Management Inc. Common Stock,1.761655,daily_pct=0.038,market_cap=83124769665;volume=2028646,NONE,L2_CURRENT_RUN
US,LRCX,Lam Research Corporation Common Stock,1.758036,daily_pct=-0.039,market_cap=384355758360;volume=7904001,NONE,L2_CURRENT_RUN
US,OKE,ONEOK Inc. Common Stock,1.755114,daily_pct=0.707,market_cap=57477106237;volume=2702688,NONE,L2_CURRENT_RUN
US,UAL,United Airlines Holdings Inc. Common Stock,1.751416,daily_pct=0.424,market_cap=36090469609;volume=4004924,NONE,L2_CURRENT_RUN
US,VTR,Ventas Inc. Common Stock,1.743295,daily_pct=0.219,market_cap=44539132352;volume=3133417,NONE,L2_CURRENT_RUN
US,BRK/B,Berkshire Hathaway Inc.,1.741587,daily_pct=-0.392,market_cap=1114584378402;volume=2706197,NONE,L2_CURRENT_RUN
US,NEE,NextEra Energy Inc. Common Stock,1.735739,daily_pct=-1.818,market_cap=157741672165;volume=15103033,NONE,L2_CURRENT_RUN
US,LUV,Southwest Airlines Company Common Stock,1.735690,daily_pct=1.243,market_cap=20326600752;volume=6022975,NONE,L2_CURRENT_RUN
