market,symbol,name,fresh_score,trend_fields,liquidity_fields,prior_recommendation_priority,status
KR,003160,디아이,4.903798,r1w=17.0382;r1m=61.5385;r3m=54.0881;r6m=3.2303,market_cap=1040025000000;trading_value=28182485225,NONE,L2_CURRENT_RUN
KR,446540,메가터치,4.883079,r1w=21.7877;r1m=53.5211;r3m=86.9640;r6m=166.1783,market_cap=316962309900;trading_value=38921530020,NONE,L2_CURRENT_RUN
KR,219130,타이거일렉,4.863855,r1w=8.0214;r1m=27.6461;r3m=28.6624;r6m=146.7176,market_cap=510194632000;trading_value=2999571350,NONE,L2_CURRENT_RUN
KR,452260,한화갤러리아,4.850807,r1w=5.9387;r1m=42.1594;r3m=30.4245;r6m=8.0078,market_cap=536021821650;trading_value=4369612785,NONE,L2_CURRENT_RUN
KR,064760,티씨케이,4.849778,r1w=5.9259;r1m=25.7143;r3m=10.8527;r6m=24.3478,market_cap=3197312976000;trading_value=13745289250,NONE,L2_CURRENT_RUN
KR,203650,드림시큐리티,4.828920,r1w=4.6904;r1m=38.1188;r3m=9.6267;r6m=72.9696,market_cap=283755510360;trading_value=46055512140,NONE,L2_CURRENT_RUN
KR,000660,SK하이닉스,4.804487,r1w=5.8556;r1m=11.4303;r3m=-27.8295;r6m=88.8438,market_cap=1360176783630000;trading_value=5480333530143,NONE,L2_CURRENT_RUN
KR,066570,LG전자,4.794028,r1w=4.5000;r1m=4.6046;r3m=2.2005;r6m=82.8521,market_cap=34042889342000;trading_value=114955326500,NONE,L2_CURRENT_RUN
KR,443060,HD현대마린솔루션,4.758135,r1w=1.0571;r1m=15.7385;r3m=9.1324;r6m=32.9255,market_cap=10715196940000;trading_value=13867663450,NONE,L2_CURRENT_RUN
KR,138040,메리츠금융지주,4.755703,r1w=0.4800;r1m=8.8388;r3m=21.3527;r6m=18.3789,market_cap=21018817488800;trading_value=18766875350,NONE,L2_CURRENT_RUN
KR,051160,지어소프트,4.656291,r1w=21.3710;r1m=35.8916;r3m=81.8731;r6m=51.6373,market_cap=186312137200;trading_value=1947559850,NONE,L2_CURRENT_RUN
KR,009150,삼성전기,4.627933,r1w=9.1238;r1m=14.3399;r3m=-23.2688;r6m=244.8513,market_cap=112563399872000;trading_value=743457672000,NONE,L2_CURRENT_RUN
KR,043590,웰킵스하이텍,4.598451,r1w=14.4667;r1m=16.4068;r3m=76.8280;r6m=168.2812,market_cap=23296910177;trading_value=80510375,NONE,L2_CURRENT_RUN
KR,006340,대원전선,4.593100,r1w=5.8870;r1m=4.7360;r3m=20.6619;r6m=146.1679,market_cap=1057810471840;trading_value=21037840590,NONE,L2_CURRENT_RUN
KR,108490,로보티즈,4.586080,r1w=-2.5890;r1m=21.6162;r3m=17.8082;r6m=16.2162,market_cap=4414775428000;trading_value=64227738500,NONE,L2_CURRENT_RUN
KR,192650,드림텍,4.560952,r1w=18.8467;r1m=79.0254;r3m=88.1960;r6m=18.6798,market_cap=556743705050;trading_value=7092574680,NONE,L2_CURRENT_RUN
KR,030530,원익홀딩스,4.545821,r1w=11.8577;r1m=47.0130;r3m=30.4147;r6m=-13.9818,market_cap=2185834862300;trading_value=192893126575,NONE,L2_CURRENT_RUN
KR,105560,KB금융,4.542045,r1w=-1.9808;r1m=6.1925;r3m=14.0975;r6m=17.9033,market_cap=61431915528800;trading_value=118050253200,NONE,L2_CURRENT_RUN
KR,089860,롯데렌탈,4.534944,r1w=3.1153;r1m=7.4675;r3m=79.5660;r6m=56.8720,market_cap=1802761114200;trading_value=1289523325,NONE,L2_CURRENT_RUN
KR,028050,삼성E&A,4.518411,r1w=-2.2772;r1m=10.1563;r3m=12.2867;r6m=46.0059,market_cap=9672600000000;trading_value=110184302725,NONE,L2_CURRENT_RUN
KR,377030,비트맥스,4.504488,r1w=13.8889;r1m=24.6201;r3m=57.6923;r6m=175.5376,market_cap=29297989100;trading_value=104539316,NONE,L2_CURRENT_RUN
KR,069540,빛과전자,4.491682,r1w=-8.8435;r1m=43.3155;r3m=56.7251;r6m=53.4351,market_cap=453021425940;trading_value=46349179042,NONE,L2_CURRENT_RUN
KR,000500,가온전선,4.491016,r1w=27.6553;r1m=102.2222;r3m=2.2472;r6m=178.4091,market_cap=9484167829500;trading_value=48994969750,NONE,L2_CURRENT_RUN
KR,161890,한국콜마,4.473797,r1w=-2.0000;r1m=2.5820;r3m=70.1389;r6m=87.9795,market_cap=3469946319000;trading_value=40522592900,NONE,L2_CURRENT_RUN
KR,055550,신한지주,4.467714,r1w=-2.4978;r1m=5.8083;r3m=14.2111;r6m=21.4444,market_cap=51310911122700;trading_value=98782914050,NONE,L2_CURRENT_RUN
KR,084370,유진테크,4.445064,r1w=16.5242;r1m=20.5601;r3m=1.1125;r6m=27.3152,market_cap=3749064471200;trading_value=43001863900,NONE,L2_CURRENT_RUN
KR,316140,우리금융지주,4.439369,r1w=-2.6171;r1m=10.6416;r3m=20.8547;r6m=9.4427,market_cap=26045404789950;trading_value=49731421325,NONE,L2_CURRENT_RUN
KR,180640,한진칼,4.401288,r1w=3.3186;r1m=15.3086;r3m=22.8947;r6m=15.4988,market_cap=9353394727500;trading_value=9869157150,NONE,L2_CURRENT_RUN
KR,017900,광전자,4.384803,r1w=-5.5449;r1m=31.0345;r3m=33.1536;r6m=277.8203,market_cap=572484378440;trading_value=30374224915,NONE,L2_CURRENT_RUN
KR,402340,SK스퀘어,4.348433,r1w=16.6667;r1m=10.5948;r3m=-33.8521;r6m=100.0000,market_cap=156989557620000;trading_value=1132505220813,NONE,L2_CURRENT_RUN
KR,437730,삼현,4.317381,r1w=4.8485;r1m=61.4308;r3m=32.3980;r6m=0.5814,market_cap=1645622727300;trading_value=21317535800,NONE,L2_CURRENT_RUN
KR,095340,ISC,4.210351,r1w=10.7348;r1m=37.8080;r3m=11.5486;r6m=-10.9015,market_cap=4504374825000;trading_value=24686123500,NONE,L2_CURRENT_RUN
KR,368970,오에스피,4.194605,r1w=12.1212;r1m=15.6250;r3m=63.9102;r6m=77.8846,market_cap=31190217450;trading_value=28561482,NONE,L2_CURRENT_RUN
KR,046970,우리로,4.194134,r1w=9.2541;r1m=84.8131;r3m=30.7438;r6m=72.8962,market_cap=346655742090;trading_value=95135681205,NONE,L2_CURRENT_RUN
KR,000990,DB하이텍,4.163535,r1w=5.6000;r1m=51.5499;r3m=-13.3858;r6m=58.2734,market_cap=5742605616000;trading_value=54022998350,NONE,L2_CURRENT_RUN
KR,253590,네오셈,4.152124,r1w=14.0000;r1m=35.5798;r3m=19.0601;r6m=-22.0068,market_cap=600130163520;trading_value=39157988275,NONE,L2_CURRENT_RUN
KR,232140,와이씨,4.149029,r1w=19.8486;r1m=44.9644;r3m=9.8689;r6m=-29.4554,market_cap=1169146237500;trading_value=25395537070,NONE,L2_CURRENT_RUN
KR,029460,케이씨,4.147549,r1w=8.9196;r1m=23.8571;r3m=50.7826;r6m=39.6135,market_cap=477740192250;trading_value=1531668200,NONE,L2_CURRENT_RUN
KR,020560,아시아나항공,4.147505,r1w=6.9054;r1m=18.2461;r3m=15.1515;r6m=19.4286,market_cap=1722082343960;trading_value=2326716815,NONE,L2_CURRENT_RUN
KR,069920,엑시온그룹,4.125015,r1w=9.5197;r1m=26.6667;r3m=25.5255;r6m=194.3662,market_cap=28458800172;trading_value=237350483,NONE,L2_CURRENT_RUN
KR,006120,SK디스커버리,4.115454,r1w=8.6486;r1m=18.2353;r3m=37.0455;r6m=2.2034,market_cap=1050049185300;trading_value=3048621800,NONE,L2_CURRENT_RUN
KR,172670,에이엘티,4.104780,r1w=19.1176;r1m=39.0909;r3m=35.1325;r6m=18.7069,market_cap=123382766430;trading_value=1095577200,NONE,L2_CURRENT_RUN
KR,086670,비엠티,4.093630,r1w=16.0457;r1m=27.7962;r3m=28.5619;r6m=35.9859,market_cap=191668839350;trading_value=1391517975,NONE,L2_CURRENT_RUN
KR,096530,씨젠,4.081572,r1w=4.7766;r1m=5.7543;r3m=26.1596;r6m=52.8090,market_cap=1588969668000;trading_value=5598570650,NONE,L2_CURRENT_RUN
KR,258790,소프트캠프,4.080000,r1w=15.5629;r1m=58.4563;r3m=91.2329;r6m=455.7325,market_cap=34887826880;trading_value=628299710,NONE,L2_CURRENT_RUN
KR,060370,LS마린솔루션,4.055382,r1w=4.1796;r1m=9.9673;r3m=32.4803;r6m=11.4238,market_cap=1757837437100;trading_value=5527330800,NONE,L2_CURRENT_RUN
KR,001440,대한전선,4.039641,r1w=10.9319;r1m=15.9176;r3m=-9.3704;r6m=6.9085,market_cap=6065970846200;trading_value=94512213125,NONE,L2_CURRENT_RUN
KR,396300,HT로보틱스,4.023937,r1w=28.6938;r1m=39.1204;r3m=73.1988;r6m=59.2053,market_cap=159201895000;trading_value=71363086667,NONE,L2_CURRENT_RUN
KR,201490,미투온,4.018301,r1w=-3.5156;r1m=47.3161;r3m=87.1212;r6m=21.0784,market_cap=121241404830;trading_value=71386181320,NONE,L2_CURRENT_RUN
KR,067310,하나마이크론,4.014728,r1w=32.1888;r1m=33.9130;r3m=-4.2487;r6m=41.5008,market_cap=3071878147800;trading_value=78283234600,NONE,L2_CURRENT_RUN
KR,093520,매커스,4.008148,r1w=10.7955;r1m=16.3022;r3m=71.9577;r6m=24.7335,market_cap=348128732250;trading_value=1042085550,NONE,L2_CURRENT_RUN
KR,034730,SK,3.987355,r1w=10.8893;r1m=11.2933;r3m=-14.1854;r6m=77.8748,market_cap=44299151533000;trading_value=78403933000,NONE,L2_CURRENT_RUN
KR,095610,테스,3.975801,r1w=19.3073;r1m=21.3643;r3m=-0.3692;r6m=156.9841,market_cap=3134384000000;trading_value=56509219850,NONE,L2_CURRENT_RUN
KR,062040,산일전기,3.958964,r1w=4.6867;r1m=24.4700;r3m=-7.8475;r6m=34.4895,market_cap=6297105675000;trading_value=25446226750,NONE,L2_CURRENT_RUN
KR,140410,메지온,3.956240,r1w=14.0083;r1m=27.0479;r3m=38.1513;r6m=-5.8419,market_cap=2517101602800;trading_value=10914246150,NONE,L2_CURRENT_RUN
KR,033640,네패스,3.904899,r1w=12.1951;r1m=43.9750;r3m=-2.1277;r6m=49.6746,market_cap=636433975200;trading_value=4802065350,NONE,L2_CURRENT_RUN
KR,210120,캔버스엔,3.898483,r1w=7.9863;r1m=46.6305;r3m=103.5484;r6m=18.7578,market_cap=18352617963;trading_value=284035761,NONE,L2_CURRENT_RUN
KR,039030,이오테크닉스,3.877821,r1w=2.8846;r1m=24.0979;r3m=-1.0277;r6m=13.6954,market_cap=5931863325000;trading_value=34260840000,NONE,L2_CURRENT_RUN
KR,086790,하나금융지주,3.865119,r1w=-2.6335;r1m=3.4188;r3m=16.5499;r6m=24.9765,market_cap=36066095021000;trading_value=86391731820,NONE,L2_CURRENT_RUN
KR,000880,한화,3.812983,r1w=-5.5919;r1m=55.1313;r3m=25.2408;r6m=13.4380,market_cap=6932756610000;trading_value=8086377750,NONE,L2_CURRENT_RUN
KR,419050,삼기에너지솔루션즈,3.803813,r1w=24.1026;r1m=23.0769;r3m=33.3333;r6m=24.6619,market_cap=110731920640;trading_value=70194600212,NONE,L2_CURRENT_RUN
KR,089790,제이티,3.758918,r1w=16.0853;r1m=49.7500;r3m=32.8160;r6m=5.6437,market_cap=61789922870;trading_value=604010290,NONE,L2_CURRENT_RUN
KR,090430,아모레퍼시픽,3.758169,r1w=-1.4523;r1m=1.8585;r3m=45.4082;r6m=5.0111,market_cap=8335218157500;trading_value=20745686600,NONE,L2_CURRENT_RUN
KR,006400,삼성SDI,3.745220,r1w=-4.2279;r1m=1.1650;r3m=6.5440;r6m=31.0692,market_cap=41985061130000;trading_value=195422763000,NONE,L2_CURRENT_RUN
KR,240810,원익IPS,3.734833,r1w=11.9765;r1m=25.6579;r3m=-11.2218;r6m=-0.7424,market_cap=6562517563700;trading_value=353053961450,NONE,L2_CURRENT_RUN
KR,353200,대덕전자,3.724413,r1w=17.4041;r1m=14.1491;r3m=-13.5409;r6m=53.8660,market_cap=5900380845000;trading_value=184015317200,NONE,L2_CURRENT_RUN
KR,041520,이엘씨,3.715503,r1w=7.6068;r1m=15.3987;r3m=55.2404;r6m=41.7793,market_cap=153456110700;trading_value=165790290,NONE,L2_CURRENT_RUN
KR,457370,한켐,3.703141,r1w=16.0329;r1m=28.5877;r3m=7.9350;r6m=31.1266,market_cap=91077942860;trading_value=3901627765,NONE,L2_CURRENT_RUN
KR,001520,동양,3.679548,r1w=10.7589;r1m=7.9588;r3m=103.7102;r6m=41.6462,market_cap=123511702896;trading_value=985760535,NONE,L2_CURRENT_RUN
KR,073570,리튬포어스,3.657143,r1w=10.0051;r1m=38.3184;r3m=20.3911;r6m=295.4128,market_cap=25940441840;trading_value=101343265,NONE,L2_CURRENT_RUN
US,GOOGL,Alphabet Inc. Class A Common Stock,2.628628,daily_pct=1.341,market_cap=4187062800000;volume=23777396,NONE,L2_CURRENT_RUN
US,INTC,Intel Corporation Common Stock,2.623999,daily_pct=3.907,market_cap=673265005006;volume=119297039,NONE,L2_CURRENT_RUN
US,AMZN,Amazon.com Inc. Common Stock,2.618601,daily_pct=0.044,market_cap=2689890878585;volume=33040160,NONE,L2_CURRENT_RUN
US,GOOG,Alphabet Inc. Class C Capital Stock,2.569682,daily_pct=1.203,market_cap=4146092300000;volume=15965035,NONE,L2_CURRENT_RUN
US,MU,Micron Technology Inc. Common Stock,2.457214,daily_pct=0.807,market_cap=1220343181450;volume=22070294,NONE,L2_CURRENT_RUN
US,AMD,Advanced Micro Devices Inc. Common Stock,2.454655,daily_pct=2.384,market_cap=1027251244929;volume=25319550,NONE,L2_CURRENT_RUN
US,NVDA,NVIDIA Corporation Common Stock,2.433692,daily_pct=-0.412,market_cap=5412378000000;volume=77808203,NONE,L2_CURRENT_RUN
US,BAC,Bank of America Corporation Common Stock,2.398814,daily_pct=0.054,market_cap=391803690891;volume=40990268,NONE,L2_CURRENT_RUN
US,CSCO,Cisco Systems Inc. Common Stock (DE),2.374193,daily_pct=0.507,market_cap=421738517805;volume=32362244,NONE,L2_CURRENT_RUN
US,PLTR,Palantir Technologies Inc. Class A Common Stock,2.334754,daily_pct=0.417,market_cap=462611479713;volume=22675964,NONE,L2_CURRENT_RUN
US,NFLX,Netflix Inc. Common Stock,2.309417,daily_pct=0.504,market_cap=298637753563;volume=28224058,NONE,L2_CURRENT_RUN
US,XOM,ExxonMobil Holdings Corporation Common Stock,2.295976,daily_pct=0.564,market_cap=666705405194;volume=12484958,NONE,L2_CURRENT_RUN
US,T,AT&T Inc.,2.267210,daily_pct=0.593,market_cap=174393214793;volume=34217821,NONE,L2_CURRENT_RUN
US,PFE,Pfizer Inc. Common Stock,2.259884,daily_pct=0.816,market_cap=161927726663;volume=34774778,NONE,L2_CURRENT_RUN
US,AAPL,Apple Inc. Common Stock,2.254886,daily_pct=-0.326,market_cap=4902476945600;volume=24733329,NONE,L2_CURRENT_RUN
