market,symbol,name,level1_score,screen_evidence,status
KR,068930,디지털대성,0.729653,r1m=15.2461;r3m=37.1429;r6m=7.2626;liquidity=3344629655,L2_PASS
KR,456010,아이씨티케이,0.841863,r1m=39.3342;r3m=16.4948;r6m=63.0592;liquidity=35347643925,L2_PASS
KR,017900,광전자,0.834541,r1m=31.0345;r3m=33.1536;r6m=277.8203;liquidity=30374224915,L2_PASS
KR,077360,덕산하이메탈,0.827513,r1m=39.0476;r3m=13.2759;r6m=17.5313;liquidity=9385748275,L2_PASS
KR,096770,SK이노베이션,0.826626,r1m=14.6810;r3m=51.6260;r6m=35.5132;liquidity=148676435650,L2_PASS
KR,000880,한화,0.820809,r1m=55.1313;r3m=25.2408;r6m=13.4380;liquidity=8086377750,L2_PASS
KR,417840,저스템,0.806402,r1m=48.0069;r3m=39.2013;r6m=152.6627;liquidity=33170428755,L2_PASS
KR,021240,코웨이,0.797190,r1m=2.3590;r3m=15.6431;r6m=38.0360;liquidity=23512651150,L2_PASS
KR,229640,LS에코에너지,0.796665,r1m=49.1841;r3m=17.4312;r6m=42.3804;liquidity=40717518950,L2_PASS
KR,069540,빛과전자,0.792944,r1m=43.3155;r3m=56.7251;r6m=53.4351;liquidity=46349179042,L2_PASS
KR,204270,제이앤티씨,0.790977,r1m=28.1637;r3m=6.0134;r6m=39.1813;liquidity=25593965575,L2_PASS
KR,103590,일진전기,0.788069,r1m=23.6006;r3m=10.2564;r6m=5.6921;liquidity=80921351650,L2_PASS
KR,080580,오킨스전자,0.783510,r1m=53.6797;r3m=68.7033;r6m=36.3138;liquidity=26204884500,L2_PASS
KR,053800,안랩,0.782467,r1m=30.5800;r3m=41.5238;r6m=20.4214;liquidity=9493761250,L2_PASS
KR,175330,JB금융지주,0.776865,r1m=10.6422;r3m=26.6807;r6m=4.1451;liquidity=8850924650,L2_PASS
KR,064760,티씨케이,0.772570,r1m=25.7143;r3m=10.8527;r6m=24.3478;liquidity=13745289250,L2_PASS
KR,219130,타이거일렉,0.755729,r1m=27.6461;r3m=28.6624;r6m=146.7176;liquidity=2999571350,L2_PASS
KR,084370,유진테크,0.755342,r1m=20.5601;r3m=1.1125;r6m=27.3152;liquidity=43001863900,L2_PASS
KR,000370,한화손해보험,0.747958,r1m=6.8820;r3m=30.9811;r6m=12.7407;liquidity=5236850285,L2_PASS
KR,086450,동국제약,0.742439,r1m=11.1400;r3m=17.3722;r6m=17.9558;liquidity=17668924925,L2_PASS
